Label,ID,Spot N links,Spot center intensity,Spot center intensity,Spot frame,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot intensity,Spot position,Spot position,Spot position,Spot quick mean,Spot quick mean,Spot radius,Spot track ID,Track N spots
,, ,Center ch1,Center ch2, ,Mean ch1,Std ch1,Min ch1,Max ch1,Median ch1,Sum ch1,Mean ch2,Std ch2,Min ch2,Max ch2,Median ch2,Sum ch2,X,Y,Z,Mean ch1,Mean ch2, , , 
,,,(Counts),(Counts),,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(µm),(µm),(µm),(Counts),(Counts),(µm),,
PSM,54,2,70.59907594,938.4802454,85,60.07692308,44.82039504,0,187,53,6248,588.1057692,451.4980441,0,1573,560,61163,32.50049287,434.0316728,22.18436319,61.76666667,569.2,5,0,104
PSM,55,2,71.51649588,942.4398625,86,57.07843137,44.22236482,0,187,53,5822,635.4803922,509.1463975,0,2080,667,64819,29.34255278,433.6369302,22.18436319,56.75862069,579.0344828,5,0,104
PSM,56,2,82.26611265,1184.135517,87,67.27884615,50.1427974,0,213,53,6997,782.2019231,605.2820153,0,2106,854,81349,27.76358274,433.0448165,22.18436319,64.36666667,736.9666667,5,0,104
PSM,57,2,76.09861337,1332.347841,88,60.74489796,46.90488538,0,186,53,5953,924.8163265,615.6921568,26,2080,906,90632,25.19775642,428.7026489,22.18436319,58.32258065,828.6451613,5,0,104
PSM,58,2,57.31055169,1289.999578,89,49.44554455,34.16005716,0,133,53,4994,832.0990099,623.7729155,26,2080,774,84042,26.77672646,427.9131638,22.18436319,45.93333333,749.5666667,5,0,104
PSM,59,2,58.99761834,1440.06297,90,50.5049505,39.73553165,0,187,53,5101,899.1683168,697.8657474,0,2240,1040,90816,24.01352889,429.6895051,22.18436319,47.06896552,821.137931,5,0,104
PSM,60,2,45.29223395,1362.22294,91,35.62626263,33.05424912,0,134,26,3527,911.8888889,821.1400846,0,2800,747,90277,23.81615763,427.9131638,22.18436319,35.12903226,793.8387097,5,0,104
PSM,61,2,41.46306896,1121.811677,92,39.84,35.50408143,0,133,27,3984,512.12,775.6986591,0,3254,160,51212,24.01352889,432.8474452,22.18436319,36.4516129,425.1290323,5,0,104
PSM,62,2,42.37763473,948.7437705,93,39.5,30.23922769,0,107,27,4029,522.6960784,539.3209663,0,1867,267,53315,23.22404387,434.229044,22.18436319,35.81818182,423.7272727,5,0,104
PSM,63,2,46.08595951,870.9140233,94,42.04807692,34.98220902,0,159,27,4373,482.4326923,471.4723018,0,1573,240,50173,21.05296006,437.1896128,22.18436319,40.43333333,432.6666667,5,0,104
PSM,64,2,47.35497247,833.1056702,95,40.95145631,32.31292422,0,133,27,4218,472.3495146,462.0180734,0,1467,187,48652,21.25033132,436.4001278,22.18436319,38.87096774,404.7096774,5,0,104
PSM,65,2,66.73698401,785.080561,96,54.96078431,43.72459298,0,187,53,5606,479.627451,402.308879,26,1467,373,48922,20.8555888,433.439559,22.18436319,52.67741935,421.2903226,5,0,104
PSM,66,2,84.72501575,845.5696318,97,63.83809524,44.57213769,0,213,53,6703,502.247619,440.5242677,0,1493,293,52736,19.86873253,430.4789902,22.18436319,60.56666667,459.4,5,0,104
PSM,67,2,76.28652175,767.9326866,98,66.76,54.88594602,0,266,53,6676,485.79,379.2745946,26,1467,400,48579,21.64507383,429.0973914,22.18436319,65,439.137931,5,0,104
PSM,68,2,95.33197862,785.7616053,99,82.25490196,48.68827624,0,240,80,8390,500.3529412,404.8052618,0,1520,427,51036,24.21090015,429.6895051,22.18436319,80.46666667,444.0333333,5,0,104
PSM,69,2,91.5421293,791.5634226,100,80.51851852,48.16043789,0,240,80,6522,579.0246914,379.930914,26,1307,534,46901,21.41505544,431.2077027,20.64637282,77.24,507.96,5,0,104
PSM,70,2,68.96023522,986.1508974,101,59.41176471,41.78325425,0,186,53,5050,653.0470588,536.1643073,0,1893,586,55509,22.79665423,434.9577565,20.64637282,58,596.4166667,5,0,104
PSM,71,2,73.9760915,1030.61726,102,66.32098765,46.84037445,0,240,53,5372,704.4074074,543.5522923,0,2107,640,57057,23.78351051,437.7209541,20.64637282,62.6,585.88,5,0,104
PSM,72,2,59.19696976,980.7032284,103,45.23076923,41.9129968,0,186,27,3528,719.9230769,518.9034585,0,1947,800,56154,23.98088176,439.1025529,20.64637282,49.8,644.08,5,0,104
PSM,73,2,55.13376299,769.1669527,104,55.31395349,39.20452004,0,187,53,4757,605.8372093,361.4563959,80,1440,560,52102,20.03345666,439.1025529,20.64637282,60.18518519,579.8148148,5,0,104
PSM,74,2,60.51318332,757.6266791,105,58.6741573,45.77458984,0,160,53,5222,560.8202247,457.8183582,26,1840,454,49913,18.84922913,441.8657505,20.64637282,62.59090909,581.5454545,5,0,104
PSM,75,2,48.310948,987.6265014,106,42.39285714,41.24450102,0,160,27,3561,643.047619,588.7916748,0,1787,533,54016,18.84922913,446.0105468,20.64637282,42.08333333,660.25,5,0,104
PSM,76,2,74.08865343,1575.723776,107,58.28409091,42.33417925,0,240,53,5129,1108.102273,659.6053512,107,2427,1040,97513,16.48077406,452.1290557,20.64637282,54.03846154,989.7692308,5,0,104
PSM,77,2,64.47349704,1688.477643,108,53.2,38.17205284,0,134,53,4788,1140.944444,719.1080674,133,2639,1146,102685,15.49391778,452.1290557,20.66610995,46.96428571,957.5357143,5,0,104
